trial_index,trial_type,response,story_pass,s_or_q,state,qtype,edge,altedge,slider_true_right,objective_pr,edge_count,altedge_count,ex_pr_edge,ex_pr_altedge,resp_objective,resp_ex_pr_edge,resp_ex_pr_altedge
0,instructions,,0,s,BEGIN,,,,,,0.0,0.0,0.0,0.0,,,
1,html-slider-response,100.0,0,q,,Default,BEGINWalktoback,BEGINWalktofront,True,60.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0
2,instructions,,0,s,Walktoback,,,,,,1.0,1.0,50.0,50.0,,,
3,html-slider-response,0.0,0,q,,Default,WalktobackStepinfront,WalktobackSayexcuseme,True,40.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0
4,instructions,,0,s,Stepinfront,,,,,,2.0,2.0,50.0,50.0,,,
5,html-slider-response,1.0,0,q,,Alter,StepinfrontIgnore,StepinfrontIgnore,False,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
6,instructions,,0,s,Ignore,,,,,,3.0,3.0,50.0,50.0,,,
7,html-slider-response,0.0,0,q,,Permute,IgnoreXstare,IgnoreXstare,False,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
8,instructions,,0,s,Xstare,,,,,,4.0,4.0,50.0,50.0,,,
9,html-slider-response,100.0,0,q,,Default,XstareDessertcrumble,XstareCreamsplash,True,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0
10,instructions,,0,s,Dessertcrumble,,,,,,5.0,5.0,50.0,50.0,,,
11,html-slider-response,100.0,0,q,,Alter,DessertcrumbleCallpoliceman,DessertcrumbleCallpoliceman,False,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
12,instructions,,0,s,Callpoliceman,,,,,,6.0,6.0,50.0,50.0,,,
13,html-slider-response,0.0,0,q,,Permute,CallpolicemanHatecoffee,CallpolicemanHatecoffee,False,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
14,instructions,,0,s,Hatecoffee,,,,,,7.0,7.0,50.0,50.0,,,
15,html-slider-response,0.0,0,q,,Alter,HatecoffeeEND,HatecoffeeEND,False,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
16,instructions,,0,s,END,,,,,,8.0,8.0,50.0,50.0,,,
17,instructions,,1,s,BEGIN,,,,,,9.0,9.0,50.0,50.0,,,
18,html-slider-response,0.0,1,q,,Default,BEGINWalktofront,BEGINWalktoback,True,40.0,0.0,1.0,0.0,100.0,40.0,0.0,100.0
19,instructions,,1,s,Walktofront,,,,,,10.0,10.0,50.0,50.0,,,
20,html-slider-response,100.0,1,q,,Default,WalktofrontStepinfront,WalktofrontSayexcuseme,False,50.0,0.0,0.0,0.0,0.0,50.0,100.0,100.0
21,instructions,,1,s,Stepinfront,,,,,,11.0,11.0,50.0,50.0,,,
22,html-slider-response,0.0,1,q,,Alter,StepinfrontIgnore,StepinfrontIgnore,False,100.0,1.0,1.0,50.0,50.0,0.0,50.0,50.0
23,instructions,,1,s,Ignore,,,,,,12.0,12.0,50.0,50.0,,,
24,html-slider-response,0.0,1,q,,Default,IgnoreXstare,IgnoreTurntobarista,False,66.0,1.0,0.0,100.0,0.0,34.0,0.0,100.0
